id,name,description
1,Adventure,"High-energy activities including trekking, climbing, and rafting"
2,Cultural,"Heritage, history, and local traditions-focused travel experiences"
3,Leisure,Relaxing holidays including beach resorts and scenic stays
4,Wildlife,"Safaris, birdwatching, and jungle exploration trips"
5,Pilgrimage,Spiritual journeys to holy sites and religious centers
6,Culinary,Food tasting tours and cooking experiences
7,Luxury,Premium-class tours with 5-star accommodations and services
8,Backpacking,Budget trips for solo or group travelers across multiple regions
9,Eco-Tourism,Environmentally responsible travel to natural areas
10,Photography,"Trips focused on capturing landscapes, culture, and wildlife"
11,Festival Tours,"Experiences around cultural, religious, or music festivals"
12,Wellness,"Yoga, meditation, spa, and health retreats"
13,Marine,"Scuba diving, snorkeling, or coastal/island adventures"
14,Historical,"Exploration of ancient cities, ruins, and museums"
15,Honeymoon,Romantic destinations and couples retreats
16,Desert Expeditions,"Dune bashing, camel rides, and desert camping"
17,Winter Sports,"Skiing, snowboarding, and ice-climbing tours"
18,City Breaks,Short getaways to explore urban destinations
19,Island Hopping,Multi-island beach hopping tours
20,Volunteer Travel,Trips that combine travel with social work opportunities
21,Jungle Safari,Wildlife tours and deep forest adventures
22,Arctic/Polar,Extreme expeditions to polar landscapes
23,Art & Architecture,"Tours exploring landmarks, galleries, and designs"
24,Agritourism,Farm stays and agricultural experiences
25,Spiritual Retreats,Peaceful environments for healing and reflection
26,Extreme Sports,"Bungee jumping, ziplining, and paragliding activities"
27,Bike Tours,Bicycle-based travel across regions or cities
28,Cruise,Ocean or river cruises through scenic destinations
29,Nomad Experience,Living and traveling like a local nomad
30,Language Immersion,Learning a new language through local travel
31,Train Journeys,Scenic multi-day train travel experiences
32,Classic Heritage,Old cities and civilizations exploration
33,Beach Holidays,"Sun, sand, and relaxation on the coastline"
34,Rural Escapes,"Tranquil, countryside lifestyle experiences"
35,Wild Camping,Off-grid adventures in nature
36,Tech Tourism,Exploring innovative and futuristic cities
37,Festive Shopping,Shopping-focused tours near festive seasons
38,Gastronomic Trails,Regional food and drink trails
39,Religious Circuits,Multi-site religious journey packages
40,Student Exchange,International student travel programs
41,Family-Friendly,"Kid-safe, inclusive travel plans for families"
42,Event-Based,"Travel around sports, concerts, or conferences"
43,Island Retreat,"Remote, exotic private island stays"
44,Mystery Tours,Surprise locations and hidden destination adventures
45,Eco Lodges,Nature-respecting stays in environmentally designed housing
46,Offbeat Trails,Exploring lesser-known villages and terrains
47,Friendly one,Inclusive and supportive destinations and guides
48,Snow Treks,Winter hikes and snowy trail journeys
49,Gondola & Boat Rides,Venetian and other cultural water-based trips
50,Safari & Stars,Night safaris and stargazing in remote areas
51,Nomadic Culture,Learning and living with nomadic tribes
