id,operator_id,category_id,destination_id,name,days,capacity,price,start_date,end_date,description,inclusions,exclusions,cancel_policy,eco_score,is_active,image,created_at
1,1,1,1,Tour Package #1,9,23,682.18,09/10/2025,18/10/2025,Standard 9-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,3.97,1,https://example.com/images/trip1.jpg,10:04.2
2,2,2,2,Tour Package #2,7,25,2111.22,26/07/2025,02/08/2025,Standard 7-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,4.01,1,https://example.com/images/trip2.jpg,10:04.2
3,3,3,3,Tour Package #3,7,14,3901.12,06/11/2025,13/11/2025,Standard 7-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,4.6,1,https://example.com/images/trip3.jpg,10:04.2
4,4,4,4,Tour Package #4,5,19,944.44,19/06/2025,24/06/2025,Standard 5-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,4.8,1,https://example.com/images/trip4.jpg,10:04.2
5,5,5,5,Tour Package #5,8,25,3019.16,30/08/2025,07/09/2025,Standard 8-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,3.87,1,https://example.com/images/trip5.jpg,10:04.2
6,6,6,6,Tour Package #6,6,25,2492.12,12/10/2025,18/10/2025,Standard 6-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,3.52,1,https://example.com/images/trip6.jpg,10:04.2
7,7,7,7,Tour Package #7,3,12,3738.67,11/09/2025,14/09/2025,Standard 3-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,4.42,1,https://example.com/images/trip7.jpg,10:04.2
8,8,8,8,Tour Package #8,3,25,4226.28,25/08/2025,28/08/2025,Standard 3-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,3.49,1,https://example.com/images/trip8.jpg,10:04.2
9,9,9,9,Tour Package #9,8,12,1359.8,24/10/2025,01/11/2025,Standard 8-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,3.44,1,https://example.com/images/trip9.jpg,10:04.2
10,10,10,10,Tour Package #10,5,24,910.47,21/08/2025,26/08/2025,Standard 5-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,4.75,1,https://example.com/images/trip10.jpg,10:04.2
11,11,11,11,Tour Package #11,10,13,1856.51,14/08/2025,24/08/2025,Standard 10-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,4.41,1,https://example.com/images/trip11.jpg,10:04.2
12,12,12,12,Tour Package #12,8,16,4837.27,02/11/2025,10/11/2025,Standard 8-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,4.09,1,https://example.com/images/trip12.jpg,10:04.2
13,13,13,13,Tour Package #13,7,24,912.34,22/12/2025,29/12/2025,Standard 7-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,3.77,1,https://example.com/images/trip13.jpg,10:04.2
14,14,14,14,Tour Package #14,6,19,1327.41,18/07/2025,24/07/2025,Standard 6-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,3.07,1,https://example.com/images/trip14.jpg,10:04.2
15,15,15,15,Tour Package #15,7,25,810.88,21/11/2025,28/11/2025,Standard 7-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,4.52,1,https://example.com/images/trip15.jpg,10:04.2
16,16,16,16,Tour Package #16,5,11,4291.07,27/11/2025,02/12/2025,Standard 5-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,4.85,1,https://example.com/images/trip16.jpg,10:04.2
17,17,17,17,Tour Package #17,9,18,2848.06,31/07/2025,09/08/2025,Standard 9-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,4.7,1,https://example.com/images/trip17.jpg,10:04.2
18,18,18,18,Tour Package #18,9,18,2527.53,17/11/2025,26/11/2025,Standard 9-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,4.28,1,https://example.com/images/trip18.jpg,10:04.2
19,19,19,19,Tour Package #19,8,12,1959.46,30/06/2025,08/07/2025,Standard 8-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,3.97,1,https://example.com/images/trip19.jpg,10:04.2
20,20,20,20,Tour Package #20,8,16,1593.66,05/12/2025,13/12/2025,Standard 8-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,3.54,1,https://example.com/images/trip20.jpg,10:04.2
21,21,21,21,Tour Package #21,6,21,4075.62,25/08/2025,31/08/2025,Standard 6-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,3.85,1,https://example.com/images/trip21.jpg,10:04.2
